User,favoriteColor,yearOfBirth,country,easyNav,colorblind,device,userID,easyRead,avgNumberOPurchases,appealingColor,gender,T. scene time (ms),Scene R.T (ms),Selection R.T (ms),Nº Options offered,R.T / Nº options,Nº change opinion,Nº characters/second,Nº words/second,Nº characters removed,Nº times left and right arrows,Ideal D. mouse position and comp,Real D. mouse position and comp,Difference real e ideal D.,Mouse movement T. (ms),S. mouse/real D.,S. mouse/ideal D.,Mouse corrections,pixel precision,pixel % precision,Nº error cliks,Deviation
"YZL53093957256116895692393327162023","purple",2004,"-",7,"yes","computer","2",7,1,7,"female",4964,1956,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"OPK92648699060616889872231497102023","green",2014,"CA",7,"yes","computer","2",7,5,7,"female",996,196,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"NRU43756051176916891647674667122023","other",2004,"PK",5,"no","computer","1",5,3,4,"female",3081,1147,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SGT20590668924216890637620137112023","red",1979,"ES",7,"no","computer","1",7,2,7,"male",139552,25,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4,"-"
"FIO25026002577716890206810927102023","blue",1972,"DE",7,"no","smartphone","2",7,2,7,"female",11264,11236,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"LVM10229432688916890620362497112023","orange",2003,"DE",1,"no","smartphone","1",4,1,1,"other",2428,2415,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"RAR80136573213316889896642427102023","green",1999,"FR",7,"no","computer","1",7,1,7,"male",206714,2514,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"XEZ37673730370916890693396557112023","orange",1973,"ES",6,"no","computer","2",3,1,2,"male",2262,1407,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"ESP88602724597316890052431767102023","red",1968,"FR",3,"no","computer","2",6,1,3,"female",4948,4944,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"TXY58420680896616893941555827152023","green",2004,"PK",4,"no","computer","1",7,1,3,"male",131476,688,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",5,"-"
"YZH23548498295816890808136617112023","orange",1998,"DE",5,"no","computer","2",4,1,1,"female",14491,3976,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"YEU36164065752716890098309807102023","other",1999,"FR",2,"yes","computer","1",2,1,2,"male",3277,823,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"ZKA44642929393416890672949117112023","blue",1993,"FR",4,"no","smartphone","2",5,1,4,"male",39795,6229,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"ILW98305524501016890973493857112023","red",2002,"PK",1,"no","computer","1",2,1,1,"male",24651,3236,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
"IMJ44036312781616890631840667112023","green",1966,"ES",5,"no","computer","2",6,1,5,"male",2565,178,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"NIE57891914367416890183572307102023","green",1976,"FR",4,"no","smartphone","2",6,1,5,"female",2422,2411,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"VBP98089231501316890652703447112023","green",1967,"DE",2,"no","smartphone","2",2,1,2,"male",5601,5595,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"ELR57813451357916890946487927112023","blue",2001,"FR",1,"yes","smartphone","1",3,1,2,"male",2182,2145,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"UPF73627363329216890802375217112023","purple",2000,"FR",4,"no","smartphone","2",6,1,4,"female",2198,2189,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"HIA22123579190616890967052317112023","blue",1979,"PK",5,"yes","computer","1",6,0,4,"male",1196,396,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"JUE73531697217916890489929507112023","blue",1972,"DE",2,"no","smartphone","2",2,1,2,"male",7957,7943,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"HNI79802301712716890991482167112023","other",2001,"PK",1,"yes","computer","1",1,1,1,"male",14988,2546,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
"BSJ70271320660216890081517607102023","other",1998,"DE",3,"no","smartphone","1",3,1,2,"female",2789,2783,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"HMA83691264204616890244329187102023","purple",2001,"DE",2,"no","computer","2",7,1,4,"male",1790,448,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"YQD16240584248716890183244257102023","yellow",1996,"FR",2,"no","computer","1",3,1,1,"female",906,115,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"DJJ14852856986716890622030277112023","blue",1996,"DE",1,"no","smartphone","1",2,2,1,"male",1722,88,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"EKL49268156467816890977318577112023","other",2002,"-",3,"no","smartphone","1",2,1,2,"female",14095,7976,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"ZCI95734447864316890825496187112023","green",1985,"ES",1,"no","computer","2",2,1,1,"male",11227,2684,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",3,"-"
"AIL26691505085516890648234237112023","yellow",1982,"ES",3,"no","computer","1",2,2,3,"male",2547,32,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"VIX20140034166316891509809417122023","blue",2003,"PK",3,"no","smartphone","1",1,1,4,"female",3676,3662,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"DVL41877541927516890690294857112023","yellow",1994,"DE",4,"no","computer","1",7,1,4,"male",14090,1952,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"FUD83070305786616891054795037112023","green",2000,"FR",3,"no","smartphone","2",6,1,1,"female",2730,2726,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"XBF33595955683416892810026647132023","other",1996,"FR",1,"no","computer","1",4,2,1,"male",2568,1350,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"NRB49947338220116889897454237102023","yellow",2000,"FR",4,"no","smartphone","2",5,1,2,"male",4542,4528,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"IZR62686006900116891447429827122023","purple",2004,"-",6,"no","smartphone","2",7,1,4,"female",2638,2629,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FOG70945147771216890157748047102023","blue",2002,"DE",2,"no","computer","1",1,1,2,"male",14261,86,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",3,"-"
"VZK30736422266416895087383257162023","red",2002,"PK",7,"no","computer","1",1,1,1,"male",782758,1543,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",17,"-"
"SVW77378158335616892418641567132023","red",1978,"ES",2,"no","computer","2",4,1,2,"male",2107,1264,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"OZH12061736008116890211097987102023","blue",1989,"DE",2,"no","smartphone","2",4,1,2,"female",2925,2904,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FJN43149879137016890047486697102023","blue",2000,"DE",6,"no","smartphone","2",6,1,4,"male",2469,2453,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SVX41127009648616889899328257102023","orange",1924,"AO",1,"yes","smartphone","2",2,5,1,"female",2479,2442,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"LWH67595054885816889900234927102023","green",2000,"FR",2,"no","smartphone","1",5,1,1,"female",2601,2560,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"DZW42522250831616890092452847102023","green",1993,"DE",5,"no","smartphone","1",7,1,6,"male",49839,12884,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4,"-"
"RGW96838398782916891538653157122023","purple",2004,"PK",6,"no","smartphone","2",6,1,7,"female",3518,3507,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"MWH75442736610116890091475977102023","green",2002,"DE",4,"yes","smartphone","2",5,1,3,"male",12062,8837,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"FYI90927861710016891673646347122023","blue",2003,"FR",5,"no","computer","1",5,1,5,"female",23413,2474,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
"DBX76170614480416890068809957102023","other",1993,"FR",1,"no","computer","1",1,2,1,"male",2667,1260,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FNB14177910843616889903371137102023","blue",1999,"-",1,"no","smartphone","1",7,2,1,"male",5661,5653,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"RFE61778527350216891536597397122023","yellow",2004,"PK",5,"no","computer","1",7,3,7,"male",23114,12909,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"BVG65511674214816890214620337102023","blue",1972,"DE",6,"yes","smartphone","1",6,4,4,"female",4665,4622,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"KOU48955932056816890058320877102023","blue",1985,"FR",3,"yes","smartphone","2",3,1,2,"male",112360,2038,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SLL78312524361316889951201347102023","blue",1999,"AR",6,"no","smartphone","1",3,1,1,"female",2192,2178,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FQV12497128556116890617068157112023","blue",1975,"FR",5,"no","smartphone","1",5,1,4,"female",5830,5810,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"CVT44889417907116890237955637102023","green",2004,"ES",6,"no","smartphone","1",7,1,5,"female",1819,1802,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"TDA34041945763816890822944237112023","red",1966,"ES",6,"no","computer","1",7,1,1,"male",2440,38,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"XEW73246512819516891412489627122023","blue",1964,"FR",4,"no","smartphone","1",5,1,3,"male",3300,200,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"GBR61077898644416889888559857102023","blue",1982,"ES",2,"no","smartphone","2",2,2,2,"female",2202,2197,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"JRE17047295394316892419994887132023","red",2003,"PK",4,"no","computer","2",5,1,2,"male",6715,806,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"MOX50553766952416890620629667112023","blue",1972,"ES",1,"no","computer","1",1,1,1,"male",2624,1771,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"LYV32417849780516890609455597112023","blue",1970,"-",1,"no","computer","2",1,1,1,"female",5472,4376,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SSM31777981080416890050130717102023","other",2005,"FR",1,"no","computer","1",7,2,1,"female",202046824,3944,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
